2021.4.4 15:40:50:858   leftController:(-0.28, 1.01, 0.33)  rightController:(0.08, 1.01, 0.25)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:871   leftController:(-0.28, 1.00, 0.33)  rightController:(0.08, 1.00, 0.25)  leftTracker:(-0.26, 0.11, -0.01)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:885   leftController:(-0.29, 0.99, 0.33)  rightController:(0.08, 0.99, 0.26)  leftTracker:(-0.26, 0.10, -0.01)  rightTracker:(-0.02, 0.12, -0.02)  headset:(-0.09, 1.47, 0.01)
2021.4.4 15:40:50:896   leftController:(-0.29, 0.99, 0.33)  rightController:(0.08, 0.99, 0.26)  leftTracker:(-0.26, 0.10, -0.01)  rightTracker:(-0.02, 0.12, -0.02)  headset:(-0.10, 1.47, 0.01)
2021.4.4 15:40:50:908   leftController:(-0.29, 0.98, 0.33)  rightController:(0.08, 0.98, 0.26)  leftTracker:(-0.26, 0.10, -0.01)  rightTracker:(-0.02, 0.12, -0.02)  headset:(-0.10, 1.47, 0.01)
2021.4.4 15:40:50:916   leftController:(-0.29, 0.98, 0.33)  rightController:(0.08, 0.98, 0.26)  leftTracker:(-0.25, 0.10, -0.01)  rightTracker:(-0.02, 0.11, -0.03)  headset:(-0.10, 1.47, 0.01)
2021.4.4 15:40:50:925   leftController:(-0.30, 0.97, 0.33)  rightController:(0.08, 0.98, 0.26)  leftTracker:(-0.25, 0.10, -0.01)  rightTracker:(-0.03, 0.11, -0.03)  headset:(-0.10, 1.47, 0.01)
2021.4.4 15:40:50:936   leftController:(-0.30, 0.97, 0.33)  rightController:(0.08, 0.98, 0.26)  leftTracker:(-0.25, 0.10, -0.01)  rightTracker:(-0.03, 0.11, -0.03)  headset:(-0.10, 1.47, 0.01)
2021.4.4 15:40:50:948   leftController:(-0.30, 0.97, 0.33)  rightController:(0.08, 0.98, 0.26)  leftTracker:(-0.25, 0.10, -0.01)  rightTracker:(-0.04, 0.12, -0.02)  headset:(-0.10, 1.47, 0.02)
2021.4.4 15:40:50:960   leftController:(-0.30, 0.96, 0.33)  rightController:(0.08, 0.97, 0.26)  leftTracker:(-0.25, 0.10, -0.01)  rightTracker:(-0.04, 0.11, -0.02)  headset:(-0.10, 1.47, 0.02)
2021.4.4 15:40:50:974   leftController:(-0.31, 0.96, 0.32)  rightController:(0.08, 0.97, 0.26)  leftTracker:(-0.25, 0.10, -0.01)  rightTracker:(-0.04, 0.11, -0.02)  headset:(-0.10, 1.47, 0.02)
